iter	Passed	Remaining
561	2065	1610
562	2069	1606
563	2073	1602
564	2076	1598
565	2079	1594
566	2082	1590
567	2086	1587
568	2090	1583
569	2093	1579
570	2097	1575
571	2100	1572
572	2104	1568
573	2108	1564
574	2112	1561
575	2116	1557
576	2119	1553
577	2123	1550
578	2127	1546
579	2130	1542
580	2134	1539
581	2137	1535
582	2141	1531
583	2145	1528
584	2148	1524
585	2152	1520
586	2155	1516
587	2158	1512
588	2161	1508
589	2165	1504
590	2169	1501
591	2172	1497
592	2175	1493
593	2179	1489
594	2183	1486
595	2187	1482
596	2190	1478
597	2194	1475
598	2197	1471
599	2201	1467
600	2204	1463
601	2208	1460
602	2211	1456
603	2215	1452
604	2219	1448
605	2222	1445
606	2226	1441
607	2229	1437
608	2233	1433
609	2236	1429
610	2239	1426
611	2243	1422
612	2247	1418
613	2250	1414
614	2253	1411
615	2257	1407
616	2261	1403
617	2264	1399
618	2268	1396
619	2271	1392
620	2275	1388
621	2279	1385
622	2282	1381
623	2285	1377
624	2289	1373
625	2292	1369
626	2296	1366
627	2299	1362
628	2302	1357
629	2305	1354
630	2309	1350
631	2312	1346
632	2315	1342
633	2317	1338
634	2321	1334
635	2324	1330
636	2327	1326
637	2330	1322
638	2334	1318
639	2337	1315
640	2341	1311
641	2344	1307
642	2348	1303
643	2351	1299
644	2355	1296
645	2358	1292
646	2361	1288
647	2364	1284
648	2368	1280
649	2371	1276
650	2374	1272
651	2377	1269
652	2381	1265
653	2384	1261
654	2388	1258
655	2390	1253
656	2394	1249
657	2397	1246
658	2401	1242
659	2404	1238
660	2407	1234
661	2411	1231
662	2415	1227
663	2418	1223
664	2421	1219
665	2425	1216
666	2428	1212
667	2432	1208
668	2435	1204
669	2438	1201
670	2442	1197
671	2445	1193
672	2449	1189
673	2452	1186
674	2456	1182
675	2459	1179
676	2463	1175
677	2466	1171
678	2470	1167
679	2473	1164
680	2477	1160
681	2480	1156
682	2484	1153
683	2487	1149
684	2491	1145
685	2494	1141
686	2497	1138
687	2500	1134
688	2504	1130
689	2507	1126
690	2511	1123
691	2514	1119
692	2517	1115
693	2520	1111
694	2523	1107
695	2527	1104
696	2530	1100
697	2534	1096
698	2537	1092
699	2541	1089
700	2544	1085
701	2547	1081
702	2550	1077
703	2554	1073
704	2557	1070
705	2561	1066
706	2563	1062
707	2566	1058
708	2569	1054
709	2572	1050
710	2575	1047
711	2578	1042
712	2581	1039
713	2584	1035
714	2588	1031
715	2591	1028
716	2595	1024
717	2598	1020
718	2602	1016
719	2605	1013
720	2608	1009
721	2612	1005
722	2615	1002
723	2618	998
724	2621	994
725	2624	990
726	2628	986
727	2631	983
728	2634	979
729	2637	975
730	2640	971
731	2644	968
732	2647	964
733	2651	960
734	2653	956
735	2656	952
736	2660	949
737	2663	945
738	2667	942
739	2670	938
740	2673	934
741	2677	930
742	2680	927
743	2684	923
744	2686	919
745	2688	915
746	2692	911
747	2695	908
748	2699	904
749	2701	900
750	2704	896
751	2707	892
752	2711	889
753	2714	885
754	2717	881
755	2721	878
756	2724	874
757	2728	870
758	2731	867
759	2734	863
760	2738	860
761	2742	856
762	2744	852
763	2748	848
764	2751	845
765	2755	841
766	2758	837
767	2762	834
768	2765	830
769	2768	827
770	2772	823
771	2775	819
772	2779	816
773	2782	812
774	2786	809
775	2790	805
776	2793	801
777	2796	798
778	2800	794
779	2804	790
780	2806	787
781	2810	783
782	2813	779
783	2817	776
784	2820	772
785	2824	769
786	2828	765
787	2831	761
788	2835	758
789	2838	754
790	2846	752
791	2849	748
792	2852	744
793	2855	740
794	2857	736
795	2860	733
796	2864	729
797	2868	726
798	2871	722
799	2874	718
800	2876	714
801	2879	710
802	2882	707
803	2884	703
804	2887	699
805	2890	695
806	2892	691
807	2895	688
808	2898	684
809	2901	680
810	2904	676
811	2908	673
812	2911	669
813	2914	665
814	2918	662
815	2921	658
816	2924	655
817	2928	651
818	2931	647
819	2935	644
820	2938	640
821	2941	636
822	2944	633
823	2947	629
824	2949	625
825	2953	622
826	2956	618
827	2959	614
828	2963	611
829	2966	607
830	2969	603
831	2973	600
832	2976	596
833	2980	593
834	2983	589
835	2987	585
836	2990	582
837	2994	578
838	2996	575
839	3000	571
840	3003	567
841	3007	564
842	3010	560
843	3013	556
844	3016	553
845	3019	549
846	3022	545
847	3025	542
848	3029	538
849	3032	535
850	3035	531
851	3038	527
852	3042	524
853	3045	520
854	3049	517
855	3052	513
856	3055	509
857	3058	506
858	3062	502
859	3065	499
860	3068	495
861	3071	491
862	3075	488
863	3078	484
864	3081	481
865	3085	477
866	3088	473
867	3092	470
868	3095	466
869	3098	463
870	3102	459
871	3106	455
872	3109	452
873	3113	448
874	3116	445
875	3119	441
876	3123	438
877	3127	434
878	3130	430
879	3134	427
880	3137	423
881	3141	420
882	3144	416
883	3147	412
884	3150	409
885	3154	405
886	3157	402
887	3160	398
888	3163	394
889	3166	391
890	3170	387
891	3173	384
892	3176	380
893	3180	377
894	3182	373
895	3185	369
896	3189	366
897	3191	362
898	3195	359
899	3199	355
900	3202	351
901	3205	348
902	3208	344
903	3212	341
904	3215	337
905	3219	334
906	3221	330
907	3225	326
908	3228	323
909	3232	319
910	3236	316
911	3239	312
912	3241	308
913	3244	305
914	3248	301
915	3251	298
916	3254	294
917	3257	290
918	3261	287
919	3264	283
920	3267	280
921	3270	276
922	3273	273
923	3276	269
924	3280	265
925	3283	262
926	3285	258
927	3288	255
928	3292	251
929	3295	248
930	3299	244
931	3302	240
932	3304	237
933	3308	233
934	3311	230
935	3314	226
936	3317	223
